Drag (N),Lift (N),Time (s)
-5.12700000000002,4.84500000000007,0
-5.01202269463783,4.86672468148677,0.001
-4.8971808220806,4.88844360415495,0.002
-4.78260959756277,4.91015098975538,0.003
-4.66844380158545,4.93184102124351,0.004
-4.55481756356822,4.95350782354675,0.005
-4.44186414672062,4.97514544452911,0.006
-4.32971573453595,4.99674783621832,0.007
-4.21850321930634,5.01830883635944,0.008
-4.10835599305387,5.03982215035859,0.009
-3.9994017412675,5.06128133367876,0.01
-3.89176623982922,5.08267977474905,0.011
-3.78557315550654,5.10401067844674,0.012
-3.68094385038046,5.12526705021036,0.013
-3.57799719056987,5.14644168084,0.014
-3.47684935960418,5.16752713203948,0.015
-3.37761367678627,5.18851572275254,0.016
-3.28040042087692,5.2093995163434,0.017
-3.18531665942106,5.23017030866957,0.018
-3.09246608402387,5.25081961709243,0.019
-3.00194885187254,5.27133867046816,0.02
-2.91386143378589,5.29171840015956,0.021
-2.82829646906096,5.31194943210579,0.022
-2.74534262737059,5.33202207998456,0.023
-2.66508447795192,5.35192633949825,0.024
-2.58760236631008,5.37165188381209,0.025
-2.51297229864559,5.39118806016964,0.026
-2.44126583419815,5.41052388770736,0.027
-2.37254998568282,5.42964805648679,0.028
-2.30688712797762,5.44854892775949,0.029
-2.24433491520485,5.46721453547636,0.03
-2.18494620633075,5.48563258904982,0.031
-2.12876899939066,5.50379047737322,0.032
-2.07584637442903,5.52167527409911,0.033
-2.02621644522599,5.53927374417376,0.034
-1.97991231986374,5.55657235162235,0.035
-1.93696207016857,5.57355726857534,0.036
-1.89738871004591,5.59021438552325,0.037
-1.86121018270788,5.60652932278361,0.038
-1.82843935677499,5.62248744316026,0.039
-1.79908403121589,5.63807386577191,0.04
-1.77314694907105,5.65327348102362,0.041
-1.75062581988927,5.66807096669129,0.042
-1.73151335078844,5.68245080508646,0.043
-1.71579728603488,5.69639730126519,0.044
-1.70346045501925,5.70989460224221,0.045
-1.69448082849055,5.72292671716815,0.046
-1.68883158289369,5.7354775384252,0.047
-1.68648117264076,5.74753086359355,0.048
-1.68739341013108,5.75907041823878,0.049
-1.69152755332034,5.7700798794673,0.05
-1.69883840062518,5.78054290019526,0.051
-1.70927639293607,5.79044313407372,0.052
-1.72278772249827,5.79976426101099,0.053
-1.73931444840828,5.80849001323119,0.054
-1.75879461846156,5.81660420180625,0.055
-1.78116239707597,5.82409074359716,0.056
-1.80634819900524,5.83093368853864,0.057
-1.83427882854663,5.83711724720041,0.058
-1.86487762393827,5.84262581855708,0.059
-1.8980646066331,5.84744401789774,0.06
-1.93375663512871,5.85155670480568,0.061
-1.97186756302576,5.85494901113827,0.062
-2.01230840098141,5.85760636893646,0.063
-2.05498748221872,5.85951453819337,0.064
-2.09981063124886,5.86065963441145,0.065
-2.14668133545885,5.86102815587789,0.066
-2.1955009192147,5.86060701058835,0.067
-2.24616872012763,5.85938354274972,0.068
-2.29858226712987,5.85734555879326,0.069
-2.35263746000543,5.85448135283075,0.07
-2.40822875002204,5.85077973148687,0.071
-2.4652493213109,5.84623003804295,0.072
-2.52359127264296,5.84082217582824,0.073
-2.58314579925266,5.83454663079682,0.074
-2.64380337436357,5.82739449322975,0.075
-2.70545393007412,5.81935747850458,0.076
-2.76798703726636,5.81042794687577,0.077
-2.83129208420623,5.8005989222126,0.078
-2.8952584535097,5.78986410964299,0.079
-2.95977569715595,5.77821791205451,0.08
-3.02473370923629,5.76565544540664,0.081
-3.09002289613541,5.75217255281097,0.082
-3.15553434385005,5.7377658173391,0.083
-3.22115998215975,5.72243257352103,0.084
-3.28679274537369,5.70617091750016,0.085
-3.35232672938808,5.68897971581396,0.086
-3.41765734479931,5.67085861277304,0.087
-3.48268146582922,5.65180803641474,0.088
-3.54729757483059,5.63182920301065,0.089
-3.61140590215283,5.61092412011131,0.09
-3.67490856116044,5.58909558811478,0.091
-3.73770967820952,5.5663472003496,0.092
-3.79971551740043,5.54268334166605,0.093
-3.86083459993841,5.51810918553394,0.094
-3.92097781794716,5.49263068964808,0.095
-3.98005854259431,5.46625459004705,0.096
-4.03799272640151,5.43898839375434,0.097
-4.09469899962604,5.41084036995442,0.098
-4.15009876061473,5.38181953972065,0.099
-4.20411626004551,5.35193566431474,0.1
-4.25667867898561,5.32119923208192,0.101
-4.30771620071022,5.28962144396907,0.102
-4.35716207623902,5.25721419769659,0.103
-4.40495268356229,5.22399007061854,0.104
-4.45102758054245,5.18996230130857,0.105
-4.49532955149015,5.15514476991263,0.106
-4.53780464742823,5.11955197731269,0.107
-4.57840222006974,5.08319902314852,0.108
-4.61707494954997,5.0461015827478,0.109
-4.65377886596456,5.00827588301741,0.11
-4.68847336477916,4.9697386773518,0.111
-4.72112121618773,4.93050721961644,0.112
-4.75168856850882,4.8905992372671,0.113
-4.78014494572049,4.8500329036681,0.114
-4.80646323924592,4.80882680967413,0.115
-4.83061969411195,4.76699993454316,0.116
-4.85259388961368,4.7245716162488,0.117
-4.87236871462734,4.68156152126271,0.118
-4.8899303377234,4.63798961387882,0.119
-4.90526817224042,4.59387612515246,0.12
-4.91837483648845,4.54924152152843,0.121
-4.92924610925839,4.50410647323318,0.122
-4.93788088082096,4.45849182250657,0.123
-4.94428109960552,4.4124185517496,0.124
-4.94845171475484,4.36590775166442,0.125
-4.95040061475746,4.31898058946322,0.126
-4.95013856236417,4.27165827722254,0.127
-4.94767912599907,4.22396204045902,0.128
-4.94303860787985,4.1759130870024,0.129
-4.93623596906434,4.12753257624056,0.13
-4.92729275164331,4.07884158881088,0.131
-4.91623299830113,4.02986109681077,0.132
-4.90308316946721,3.98061193459905,0.133
-4.88787205828168,3.93111477025858,0.134
-4.87063070359916,3.88139007778861,0.135
-4.85139230125345,3.83145811009363,0.136
-4.83019211380561,3.78133887283349,0.137
-4.80706737899545,3.73105209919729,0.138
-4.78205721711516,3.68061722566132,0.139
-4.75520253752031,3.63005336878869,0.14
-4.72654594449088,3.57937930312557,0.141
-4.6961316426508,3.52861344024639,0.142
-4.66400534215072,3.47777380899706,0.143
-4.63021416381354,3.42687803698236,0.144
-4.59480654443777,3.37594333334031,0.145
-4.55783214244771,3.32498647284315,0.146
-4.51934174407381,3.27402378136078,0.147
-4.47938717024026,3.2230711227192,0.148
