Drag (N),Lift (N),Time (s)
2.93387737537385,-1.13260564463959,0
2.96922429588933,-1.12038784258522,0.001
3.00434599908086,-1.10829957062127,0.002
3.03898657347234,-1.09632456745177,0.003
3.07298312193808,-1.08465226619489,0.004
3.10619389672989,-1.07335535604544,0.005
3.13834023216737,-1.06243282079235,0.006
3.16924106083013,-1.05196727200303,0.007
3.19885629558594,-1.04201814361483,0.008
3.22702769063358,-1.03253937953808,0.009
3.25348367301417,-1.02354030857127,0.01
3.27815583078196,-1.01512105853515,0.011
3.30096308178535,-1.00732873937376,0.012
3.32183789004241,-1.00016154142705,0.013
3.34059028384253,-0.993623061772358,0.014
3.35716046092916,-0.987650091552472,0.015
3.37148252341391,-0.98228544482939,0.016
3.38338100046322,-0.977516772722257,0.017
3.39274487284578,-0.973316248455091,0.018
3.39945020435193,-0.969727745501259,0.019
3.40341433755232,-0.966751872153416,0.02
3.40465280426696,-0.96427752587477,0.021
3.40302593029179,-0.962233073386211,0.022
3.39853091358409,-0.96058182295402,0.023
3.3912212457348,-0.959274022371133,0.024
3.38110079028477,-0.958269224697434,0.025
3.36820516154906,-0.957492280147113,0.026
3.35261652409733,-0.956919291077104,0.027
3.33445478326068,-0.956480209431746,0.028
3.31377169489233,-0.956086750534087,0.029
3.29067942602749,-0.955715003791151,0.03
3.26526147761203,-0.955237608318382,0.031
3.23762094211508,-0.954463716716456,0.032
3.20785935529672,-0.953444405518641,0.033
3.17601195376627,-0.95204393709207,0.034
3.142160333253,-0.950179907543198,0.035
3.10637039384897,-0.947750892736436,0.036
3.06873298583512,-0.944674575718173,0.037
3.02927613474765,-0.940810746784558,0.038
2.98806139566488,-0.936104506303132,0.039
2.9451240637103,-0.930532322441731,0.04
2.90059525802192,-0.923914003522205,0.041
2.8545720580686,-0.916150821344607,0.042
2.80709443867394,-0.907253049769016,0.043
2.7583659242009,-0.897029529485915,0.044
2.70855560702501,-0.885428280155907,0.045
2.65779049668623,-0.872422569529168,0.046
2.6061659764494,-0.857932211156068,0.047
2.5539153323794,-0.841825063163824,0.048
2.50119170130586,-0.82407570590565,0.049
2.44821155967515,-0.80463860032151,0.05
2.39505501913818,-0.783384861857757,0.051
2.34183710223795,-0.760261019369544,0.052
2.28872524782934,-0.73532862157128,0.053
2.23578056409724,-0.708546693258784,0.054
2.18303994210349,-0.679817625299809,0.055
2.13051795188707,-0.649122511123621,0.056
2.07839342091525,-0.616525011863762,0.057
2.02675892113438,-0.58198298905808,0.058
1.97564307965029,-0.545415538345381,0.059
1.92502953247734,-0.507073889458867,0.06
1.87504997742621,-0.466840665697009,0.061
1.82583377815075,-0.424711156121706,0.062
1.77748526765357,-0.380871200458572,0.063
1.73006261092113,-0.335315473722777,0.064
1.68359584175334,-0.288067683639381,0.065
1.63826823345894,-0.239294721692392,0.066
1.59415414371979,-0.189030278930152,0.067
1.55122729574669,-0.137372307313753,0.068
1.5094621939167,-0.0843349607780503,0.069
1.46893586638922,-0.0300530778944966,0.07
1.42952100813601,0.0253898451556063,0.071
1.39116838182717,0.0819233677442422,0.072
1.35380951130183,0.139383877292957,0.073
1.31730085348632,0.197753476235397,0.074
1.28152751543305,0.256967505921813,0.075
1.24639992578497,0.316893364859971,0.076
1.21177962251055,0.377523977335844,0.077
1.17751308568511,0.438742692054855,0.078
1.14357181252752,0.500427147250724,0.079
1.10982677881828,0.562479619371378,0.08
1.07621728154968,0.624825131376507,0.081
1.04276343960929,0.687347346942208,0.082
1.00942049715266,0.749905319509518,0.083
